Client_ID,Company_Name,Industry,Region,Plan,Lead_Source,Account_Age_Months,Contract_Length_Months,Monthly_Usage_Score,Support_Tickets_Last30Days,Payment_Delay_Days,Monthly_Revenue_USD,Last_Renewal_Date,Churn_Probability,Risk_Category,Renewal_Status
CL00057,Nova Labs,IT Services,South,Standard,Referral,27,6,35.6,4,13,2419.06,15-07-2025,0.542,High,No
CL00058,Crest Services,Manufacturing,South,Premium,Partner,14,12,68.7,8,16,6616.57,16-08-2024,0.292,Medium,Yes
CL00059,Blue Labs,IT Services,East,Standard,Outbound,3,24,65.6,11,6,2842.6,21-07-2025,0.2,Medium,Yes
CL00060,Pioneer Networks,Healthcare,South,Standard,Inbound,6,12,49.4,4,17,2978.54,22-07-2025,0.293,Medium,Yes
CL00061,Green Manufacturing,Healthcare,Central,Standard,Referral,19,12,52.6,5,4,2174.38,01-01-2026,0.154,Low,Yes
CL00062,Sky Systems,Manufacturing,Central,Basic,Referral,29,6,50,10,43,1051.3,01-09-2024,0.737,High,No
CL00063,Prime Systems,Telecom,East,Premium,Referral,46,24,58.5,4,8,6401.96,03-02-2026,0.084,Low,Yes
CL00064,Vertex Services,Healthcare,South,Standard,Outbound,5,12,44.8,5,12,4675.19,11-07-2025,0.49,High,Yes
CL00065,Quantum Logistics,Manufacturing,West,Basic,Referral,24,12,30.1,10,39,1519.72,16-10-2024,0.873,High,No
CL00066,Prime Services,Finance,North,Premium,Partner,15,24,80,3,6,2484.42,05-03-2025,0.028,Low,Yes
CL00067,Crest Technologies,IT Services,South,Premium,Referral,32,12,83.5,6,18,3832.41,05-09-2025,0.144,Low,Yes
CL00068,Crest Technologies,Telecom,South,Premium,Inbound,11,24,50.2,7,21,4412.55,01-04-2024,0.483,High,Yes
CL00069,Blue Labs,IT Services,Central,Standard,Referral,29,12,68.1,8,21,2540.13,29-10-2024,0.174,Low,Yes
CL00070,Omni Logistics,Construction,North,Enterprise,Marketplace,1,36,78.8,7,10,6914.57,05-12-2025,0.037,Low,Yes
CL00071,Sky Solutions,Education,East,Enterprise,Marketplace,42,24,88.6,9,12,4908.8,15-05-2024,0.027,Low,Yes
CL00072,Apex Solutions,Manufacturing,West,Premium,Outbound,4,12,67.6,5,35,6791.93,18-03-2025,0.296,Medium,No
CL00073,Omni Manufacturing,IT Services,East,Premium,Inbound,48,24,67.5,7,2,5156.57,22-04-2025,0.037,Low,Yes
CL00074,Omni Manufacturing,Telecom,North,Standard,Referral,6,12,68.7,4,1,2181.33,23-09-2024,0.072,Low,Yes
CL00075,Green Healthcare,Logistics,Central,Enterprise,Marketplace,11,36,83.4,5,25,6773.15,18-12-2024,0.07,Low,Yes
CL00076,Nova Technologies,Education,East,Standard,Inbound,32,12,74.9,5,24,2373.88,22-12-2025,0.185,Medium,Yes
CL00077,Green Healthcare,Education,East,Basic,Referral,29,3,44.5,2,22,978.84,11-04-2024,0.543,High,Yes
CL00078,Sky Logistics,IT Services,South,Standard,Outbound,32,12,57.8,4,17,2726.9,23-06-2024,0.246,Medium,Yes
CL00079,Prime Logistics,Healthcare,East,Basic,Referral,44,12,22.9,7,11,1401.47,15-12-2025,0.337,Medium,No
CL00080,Apex Manufacturing,IT Services,South,Enterprise,Inbound,42,24,71,7,25,7980.12,06-07-2024,0.072,Low,Yes
CL00081,Orion Solutions,Telecom,North,Premium,Partner,26,24,49.8,4,13,6905.7,03-07-2024,0.131,Low,Yes
CL00082,Pioneer Logistics,Logistics,North,Premium,Inbound,14,24,62.4,4,6,2218.75,28-04-2025,0.126,Low,Yes
CL00083,Prime Manufacturing,Healthcare,West,Premium,Inbound,17,12,75.1,4,16,3632.53,14-02-2026,0.124,Low,Yes
CL00084,Blue Solutions,IT Services,South,Standard,Referral,23,12,56,5,15,3236.57,18-01-2025,0.402,High,No
CL00085,Prime Technologies,Healthcare,North,Basic,Outbound,19,3,49.3,12,12,1085.48,14-03-2025,0.793,High,Yes
CL00086,Omni Networks,Healthcare,East,Premium,Referral,27,24,68.1,6,9,4108.73,22-10-2025,0.054,Low,Yes
CL00087,Apex Services,Education,West,Premium,Event,27,12,55.2,8,58,4874.06,19-07-2025,0.618,High,No
CL00088,Orion Enterprises,Logistics,North,Standard,Referral,12,6,54.1,8,3,2689.57,23-02-2026,0.419,High,Yes
CL00089,Quantum Systems,Energy,East,Premium,Inbound,6,24,66.7,5,18,4408.99,19-05-2025,0.103,Low,Yes
CL00090,Quantum Solutions,Retail,North,Standard,Outbound,22,12,51.7,12,11,3054.99,29-12-2024,0.409,High,No
CL00091,Pioneer Enterprises,IT Services,North,Standard,Outbound,22,12,57.8,3,20,2288.39,27-10-2024,0.235,Medium,Yes
CL00092,Pioneer Logistics,Logistics,North,Basic,Inbound,31,6,28.8,6,89,1330.46,16-02-2026,0.961,High,Yes
CL00093,Crest Labs,Education,West,Standard,Inbound,29,12,42.8,4,39,2319.55,09-10-2025,0.472,High,Yes
CL00094,Omni Holdings,Finance,North,Enterprise,Inbound,5,24,100,1,13,7087.26,17-10-2025,0.014,Low,Yes
CL00095,Omni Logistics,Education,North,Enterprise,Inbound,13,36,84.7,2,35,5487.99,17-07-2024,0.041,Low,Yes
CL00096,Quantum Industries,Retail,South,Standard,Inbound,24,12,32.3,7,31,1486.37,28-01-2025,0.686,High,No
CL00097,Crest Holdings,Finance,West,Premium,Outbound,11,24,37.6,10,20,5013.4,14-03-2024,0.36,High,Yes
CL00098,Sky Industries,Retail,South,Premium,Inbound,26,24,62.9,2,14,5280.13,23-03-2025,0.129,Low,Yes
CL00099,Nova Holdings,IT Services,South,Standard,Partner,23,24,66.7,3,39,2097.77,20-04-2024,0.391,High,Yes
CL00100,Prime Labs,IT Services,North,Basic,Referral,11,3,34.8,3,27,749.24,19-07-2024,0.799,High,No
CL00101,Apex Labs,IT Services,South,Enterprise,Inbound,51,48,90.3,6,9,8403.64,19-09-2024,0.005,Low,Yes
CL00102,Crest Solutions,Logistics,East,Premium,Referral,17,12,65.7,13,26,5555.32,15-10-2025,0.415,High,Yes
CL00103,Nova Services,Healthcare,East,Enterprise,Referral,43,24,72,4,10,7926.59,11-05-2024,0.035,Low,Yes
CL00104,Sky Solutions,Finance,South,Standard,Inbound,20,12,63.1,3,6,3145.89,20-12-2025,0.145,Low,Yes
CL00105,Quantum Systems,Energy,South,Premium,Event,43,24,54.6,4,5,2459.07,15-04-2025,0.072,Low,Yes
CL00106,Omni Manufacturing,Manufacturing,North,Standard,Event,21,6,47.6,9,21,2809.64,16-05-2024,0.615,High,No
CL00107,Sky Logistics,Retail,South,Standard,Referral,26,24,58,3,31,3241.71,16-02-2026,0.235,Medium,Yes
CL00108,Omni Enterprises,Education,North,Standard,Inbound,34,24,47.6,4,11,3141.88,28-02-2024,0.252,Medium,Yes
CL00109,Quantum Healthcare,Manufacturing,West,Standard,Inbound,39,12,73.9,4,7,3077.36,24-06-2024,0.099,Low,No
CL00110,Green Labs,IT Services,Central,Basic,Referral,26,6,49.3,6,15,2536.61,10-07-2024,0.446,High,Yes
CL00111,Quantum Services,Manufacturing,Central,Standard,Partner,16,24,58.5,10,4,2893.39,21-11-2025,0.153,Low,Yes
CL00112,Orion Labs,Manufacturing,Central,Basic,Partner,34,12,35.4,6,38,1171.38,06-11-2024,0.728,High,No
CL00113,Orion Enterprises,Energy,East,Premium,Marketplace,47,24,71.5,2,8,3805.97,28-10-2025,0.03,Low,Yes
CL00114,Green Manufacturing,Telecom,West,Standard,Referral,6,12,51.1,9,17,1751.12,28-03-2024,0.617,High,Yes
CL00115,Pioneer Holdings,Logistics,South,Basic,Outbound,38,6,41.4,6,27,1017.63,26-01-2026,0.69,High,No
CL00116,Sky Logistics,Telecom,East,Basic,Event,33,6,29,6,26,1018.03,11-11-2025,0.681,High,No
CL00117,Sky Solutions,Telecom,South,Basic,Partner,29,6,52.5,5,48,1633.49,08-02-2025,0.675,High,Yes
CL00118,Vertex Labs,Manufacturing,East,Premium,Event,34,24,66.5,7,21,3038.88,17-06-2024,0.093,Low,Yes
CL00119,Nova Holdings,Energy,West,Basic,Referral,37,3,57.8,5,19,995.84,08-08-2024,0.552,High,Yes
CL00120,Apex Healthcare,Finance,South,Premium,Inbound,3,12,94.7,5,17,6136.95,11-08-2024,0.065,Low,Yes
CL00121,Quantum Labs,Telecom,South,Basic,Inbound,8,6,49.2,3,5,1171.57,24-07-2025,0.309,Medium,No
CL00122,Crest Labs,Energy,Central,Standard,Referral,42,24,49.8,7,22,3023.01,26-11-2024,0.199,Medium,Yes
CL00123,Apex Solutions,Healthcare,North,Enterprise,Inbound,32,48,62.6,7,15,12606.08,29-02-2024,0.018,Low,Yes
CL00124,Orion Manufacturing,IT Services,East,Premium,Inbound,32,24,78.9,3,15,3554.62,03-12-2024,0.026,Low,Yes
CL00125,Apex Labs,Manufacturing,Central,Basic,Referral,6,6,38.5,3,26,1317.43,19-04-2025,0.735,High,Yes
CL00126,Nova Industries,Retail,East,Enterprise,Outbound,32,24,78.5,6,29,16247.88,06-04-2024,0.081,Low,Yes
CL00127,Blue Solutions,Telecom,East,Standard,Inbound,36,12,75.8,5,42,3114.14,04-04-2025,0.418,High,No
CL00128,Quantum Labs,Telecom,South,Enterprise,Inbound,37,12,67.1,5,26,11814.54,16-09-2025,0.293,Medium,Yes
CL00129,Prime Manufacturing,IT Services,South,Premium,Event,13,12,56.9,1,23,4483.08,13-04-2025,0.243,Medium,No
CL00130,Sky Labs,Finance,West,Premium,Outbound,27,24,63.2,7,21,4907.09,25-10-2024,0.171,Low,Yes
CL00131,Quantum Systems,Retail,East,Enterprise,Outbound,22,24,81.9,3,42,9528.96,16-11-2024,0.085,Low,Yes
CL00132,Orion Healthcare,Manufacturing,East,Standard,Marketplace,5,6,57.7,9,29,1816.53,06-01-2025,0.707,High,No
CL00133,Crest Networks,IT Services,North,Premium,Marketplace,37,24,57.3,6,7,3204.82,06-11-2025,0.088,Low,Yes
CL00134,Vertex Networks,Healthcare,North,Standard,Referral,30,12,61.1,5,8,2787.05,21-03-2024,0.153,Low,Yes
CL00135,Green Labs,Construction,Central,Basic,Partner,26,3,17.6,15,18,1041.44,11-11-2024,0.916,High,No
CL00136,Nova Solutions,Healthcare,South,Basic,Referral,6,3,26.9,4,35,925.84,27-01-2026,0.865,High,No
CL00137,Pioneer Technologies,Finance,East,Basic,Referral,20,6,37.6,5,15,951.29,25-10-2025,0.609,High,No
CL00138,Blue Technologies,Logistics,North,Premium,Outbound,11,12,58.4,7,7,5331.56,04-06-2024,0.317,Medium,Yes
CL00139,Green Networks,Healthcare,West,Premium,Outbound,16,24,74.7,6,20,4239.51,12-11-2024,0.096,Low,Yes
CL00140,Orion Industries,Construction,Central,Premium,Event,19,12,62.4,7,6,3399.04,11-03-2024,0.14,Low,Yes
CL00141,Pioneer Manufacturing,Construction,East,Basic,Partner,18,12,53.2,5,11,1074.41,12-08-2025,0.485,High,No
CL00142,Pioneer Solutions,Manufacturing,North,Standard,Marketplace,20,6,48,3,11,2458.57,12-05-2024,0.352,High,No
CL00143,Apex Technologies,Retail,East,Enterprise,Partner,9,24,70.5,9,3,7428.81,04-12-2024,0.126,Low,Yes
CL00144,Orion Holdings,Healthcare,West,Standard,Inbound,5,12,66.5,10,1,1669.56,17-12-2025,0.142,Low,Yes
CL00145,Nova Labs,Manufacturing,South,Premium,Partner,6,24,61.9,11,10,4487.9,05-06-2024,0.157,Low,Yes
CL00146,Vertex Labs,IT Services,Central,Premium,Marketplace,35,24,85.9,4,43,3502.03,21-10-2024,0.032,Low,Yes
CL00147,Quantum Networks,Finance,East,Premium,Partner,5,36,72.5,3,3,4104.38,14-10-2025,0.023,Low,Yes
CL00148,Omni Technologies,Finance,Central,Standard,Partner,24,6,25.8,8,18,3133.64,02-06-2025,0.783,High,No
CL00149,Omni Enterprises,IT Services,East,Enterprise,Marketplace,17,24,92.1,1,31,11014.15,03-09-2025,0.038,Low,No
CL00150,Sky Labs,Manufacturing,North,Standard,Referral,15,24,62,2,0,2520.56,27-01-2026,0.074,Low,Yes
CL00151,Nova Networks,Energy,South,Enterprise,Partner,43,12,82.4,4,11,9193.02,24-12-2025,0.081,Low,Yes
CL00152,Quantum Solutions,Manufacturing,North,Standard,Event,14,6,28.1,8,18,3052.25,23-09-2024,0.77,High,No
CL00153,Apex Manufacturing,IT Services,Central,Standard,Marketplace,18,6,48,4,53,2984.5,02-10-2024,0.719,High,No
CL00154,Quantum Industries,Retail,West,Basic,Outbound,52,6,27.9,3,15,914.4,30-04-2024,0.395,High,No
CL00155,Nova Labs,Construction,West,Premium,Inbound,9,12,48.9,4,20,4723.27,27-11-2024,0.443,High,Yes
CL00156,Omni Technologies,Manufacturing,South,Standard,Partner,43,6,71.9,1,4,2992.33,14-09-2025,0.166,Low,Yes
CL00157,Sky Networks,Logistics,North,Standard,Outbound,13,12,52.9,5,15,2452.66,02-09-2024,0.203,Medium,Yes
CL00158,Vertex Technologies,Education,West,Standard,Inbound,22,12,47.6,3,30,2388.93,23-10-2025,0.443,High,Yes
CL00159,Apex Systems,Manufacturing,South,Enterprise,Outbound,24,24,79.6,10,15,8768.36,20-04-2025,0.071,Low,Yes
CL00160,Green Industries,Education,South,Enterprise,Outbound,17,24,76.8,5,6,3094.21,15-11-2024,0.031,Low,Yes
CL00161,Green Enterprises,Healthcare,East,Premium,Inbound,26,24,24,10,1,3871.19,28-12-2024,0.323,Medium,Yes
CL00162,Sky Enterprises,Logistics,North,Premium,Inbound,11,36,57.2,4,2,3716.41,11-09-2025,0.044,Low,Yes
CL00163,Green Services,Logistics,South,Standard,Inbound,28,12,36,5,8,2244.2,14-10-2024,0.353,High,Yes
CL00164,Orion Logistics,Finance,South,Standard,Inbound,17,12,58.8,3,5,2439.86,03-08-2025,0.144,Low,Yes
CL00165,Pioneer Services,IT Services,North,Enterprise,Outbound,38,24,74.5,10,16,9001.64,27-12-2024,0.078,Low,Yes
CL00166,Sky Systems,Telecom,Central,Basic,Referral,16,6,40.2,4,13,1623.29,14-10-2025,0.496,High,No
CL00167,Vertex Enterprises,Healthcare,North,Standard,Referral,8,12,27.1,2,14,2680.07,30-07-2024,0.588,High,Yes
CL00168,Vertex Industries,Manufacturing,North,Standard,Referral,7,24,47.3,7,4,2227.39,09-10-2024,0.192,Medium,Yes
CL00169,Crest Services,IT Services,North,Standard,Inbound,48,12,69.4,4,31,1629.64,24-02-2025,0.162,Low,Yes
CL00170,Quantum Industries,Finance,West,Standard,Partner,41,24,70.9,6,24,3491.84,26-08-2025,0.19,Medium,Yes
CL00171,Orion Holdings,Logistics,South,Standard,Referral,28,24,61.6,5,4,2027.31,21-06-2024,0.078,Low,Yes
CL00172,Apex Industries,IT Services,East,Basic,Referral,31,3,25,7,33,2080.44,17-12-2025,0.804,High,No
CL00173,Crest Networks,Finance,North,Standard,Partner,15,6,69.1,7,16,2251.36,11-03-2024,0.21,Medium,Yes
CL00174,Quantum Logistics,Manufacturing,North,Standard,Outbound,4,6,59.7,4,16,2912.05,17-03-2024,0.264,Medium,Yes
CL00175,Omni Industries,Logistics,South,Basic,Marketplace,28,6,36.6,3,22,1155.04,19-01-2025,0.519,High,No
CL00176,Quantum Solutions,Manufacturing,West,Basic,Partner,10,3,11.7,6,5,914.09,23-10-2025,0.782,High,No
CL00177,Omni Solutions,Logistics,Central,Premium,Outbound,44,36,76.4,4,24,4895.36,02-06-2024,0.044,Low,Yes
CL00178,Crest Solutions,Healthcare,North,Standard,Outbound,29,6,44.9,3,45,1708.29,15-02-2025,0.352,High,No
CL00179,Pioneer Labs,Energy,East,Premium,Inbound,14,12,65.2,9,9,4600.94,05-01-2025,0.191,Medium,Yes
CL00180,Green Solutions,IT Services,Central,Premium,Referral,33,12,68.8,5,14,4763.02,23-08-2025,0.194,Medium,Yes
CL00181,Crest Labs,Healthcare,South,Premium,Referral,10,36,82.5,5,4,3453.52,01-08-2024,0.017,Low,Yes
CL00182,Crest Healthcare,IT Services,West,Standard,Referral,21,12,54.5,8,31,3565.84,05-05-2025,0.5,High,Yes
CL00183,Apex Healthcare,Energy,North,Standard,Partner,37,24,48.8,8,6,2589.15,29-12-2025,0.209,Medium,Yes
CL00184,Nova Technologies,Telecom,Central,Standard,Inbound,42,24,73.9,5,21,3966.95,07-04-2024,0.034,Low,Yes
CL00185,Pioneer Healthcare,Manufacturing,West,Premium,Referral,7,24,55.1,5,18,4365.46,03-12-2025,0.311,Medium,No
CL00186,Crest Logistics,Logistics,Central,Standard,Partner,11,6,62.8,3,12,2734.05,28-07-2024,0.126,Low,Yes
CL00187,Blue Enterprises,Telecom,West,Enterprise,Inbound,21,24,74.6,5,15,5318.71,27-04-2024,0.03,Low,Yes
CL00188,Vertex Manufacturing,Finance,South,Enterprise,Inbound,16,24,64,1,2,11276.54,16-10-2024,0.038,Low,Yes
CL00189,Orion Holdings,Finance,Central,Basic,Outbound,39,6,39,13,23,1568.35,05-03-2025,0.757,High,No
CL00190,Vertex Enterprises,Manufacturing,South,Basic,Inbound,31,3,44.3,9,25,1081.68,13-11-2024,0.797,High,Yes
CL00191,Green Systems,IT Services,South,Premium,Marketplace,38,12,84.2,9,33,3848.96,02-06-2024,0.222,Medium,No
CL00192,Pioneer Manufacturing,Energy,West,Standard,Referral,20,12,66.7,4,4,2385.27,08-02-2025,0.104,Low,No
CL00193,Prime Networks,Energy,West,Basic,Outbound,26,6,30.5,13,16,1587.06,28-02-2024,0.857,High,No
CL00194,Blue Solutions,Logistics,Central,Enterprise,Outbound,8,36,63.2,5,23,5858.18,04-03-2024,0.133,Low,Yes
CL00195,Apex Networks,Healthcare,North,Standard,Outbound,8,12,48.2,8,6,1823.8,25-10-2025,0.52,High,No
CL00196,Crest Healthcare,Healthcare,West,Enterprise,Outbound,19,36,59.8,5,10,10261.08,16-04-2025,0.055,Low,Yes
CL00197,Nova Solutions,Education,West,Premium,Event,19,24,57.4,3,6,3128.67,18-11-2024,0.078,Low,Yes
CL00198,Quantum Labs,Energy,North,Premium,Marketplace,16,12,56.9,5,2,4254.9,17-12-2024,0.171,Low,Yes
CL00199,Quantum Enterprises,Energy,South,Basic,Outbound,17,12,42.7,8,7,1221.56,25-01-2025,0.727,High,No
CL00200,Omni Holdings,Education,South,Standard,Inbound,18,24,21.5,8,16,2146.3,17-08-2024,0.578,High,Yes
CL00201,Nova Labs,Logistics,South,Standard,Inbound,37,6,44.2,5,47,3264.9,10-08-2025,0.629,High,Yes
CL00202,Blue Enterprises,IT Services,Central,Basic,Inbound,30,6,32.3,3,70,1027.1,08-10-2024,0.882,High,No
CL00203,Omni Networks,Manufacturing,East,Standard,Inbound,13,12,65.2,9,26,2672.16,22-04-2025,0.498,High,No
CL00204,Quantum Services,Energy,West,Standard,Referral,6,6,35.6,7,7,2542.64,04-06-2024,0.627,High,No
CL00205,Prime Healthcare,Finance,Central,Basic,Inbound,5,12,41.7,5,3,1490.48,18-03-2024,0.555,High,Yes
CL00206,Pioneer Logistics,IT Services,South,Basic,Inbound,19,6,39.5,5,7,2343.62,14-06-2024,0.47,High,No
CL00207,Apex Manufacturing,IT Services,West,Premium,Partner,16,24,80.5,3,20,3293.34,10-11-2024,0.032,Low,Yes
CL00208,Quantum Enterprises,Logistics,South,Basic,Partner,30,6,45.1,9,26,1389.47,07-06-2024,0.758,High,No
CL00209,Pioneer Solutions,IT Services,Central,Basic,Referral,19,6,42.5,9,20,1763.81,22-06-2025,0.724,High,Yes
CL00210,Omni Enterprises,Manufacturing,North,Premium,Referral,9,12,56.3,5,24,3270.03,24-06-2024,0.279,Medium,Yes
CL00211,Nova Solutions,Finance,Central,Enterprise,Marketplace,26,24,53.8,6,23,8918.13,12-10-2025,0.247,Medium,Yes
CL00212,Orion Logistics,Logistics,North,Standard,Inbound,19,6,56,14,18,2097.88,30-09-2025,0.681,High,No
CL00213,Omni Enterprises,Logistics,South,Basic,Event,5,6,44.4,8,9,1696.95,21-09-2024,0.535,High,No
CL00214,Prime Healthcare,Manufacturing,West,Premium,Referral,15,12,44.1,8,9,4203.98,01-02-2025,0.371,High,Yes
CL00215,Vertex Services,Logistics,South,Enterprise,Inbound,20,36,60.2,13,2,5243.99,09-07-2025,0.075,Low,Yes
CL00216,Blue Labs,Manufacturing,East,Premium,Inbound,24,12,66,8,14,7417.07,01-01-2025,0.248,Medium,No
CL00217,Pioneer Manufacturing,Healthcare,South,Premium,Event,12,24,68.1,6,8,6487.59,24-04-2024,0.085,Low,Yes
CL00218,Prime Logistics,Education,West,Standard,Referral,14,12,36.1,7,3,2575.85,16-09-2024,0.385,High,Yes
